;cuecolor;framecolor;orientation;stimulus;cueFileName;stimFileName
0;black;blue;horiz;1;blackbluehoriz.png;blackbluehoriz1.png
1;black;blue;horiz;2;blackbluehoriz.png;blackbluehoriz2.png
2;black;blue;horiz;3;blackbluehoriz.png;blackbluehoriz3.png
3;black;blue;horiz;4;blackbluehoriz.png;blackbluehoriz4.png
4;black;blue;horiz;6;blackbluehoriz.png;blackbluehoriz6.png
5;black;blue;horiz;7;blackbluehoriz.png;blackbluehoriz7.png
6;black;blue;horiz;8;blackbluehoriz.png;blackbluehoriz8.png
7;black;blue;horiz;9;blackbluehoriz.png;blackbluehoriz9.png
8;black;blue;vert;1;blackbluevert.png;blackbluevert1.png
9;black;blue;vert;2;blackbluevert.png;blackbluevert2.png
10;black;blue;vert;3;blackbluevert.png;blackbluevert3.png
11;black;blue;vert;4;blackbluevert.png;blackbluevert4.png
12;black;blue;vert;6;blackbluevert.png;blackbluevert6.png
13;black;blue;vert;7;blackbluevert.png;blackbluevert7.png
14;black;blue;vert;8;blackbluevert.png;blackbluevert8.png
15;black;blue;vert;9;blackbluevert.png;blackbluevert9.png
16;black;red;horiz;1;blackredhoriz.png;blackredhoriz1.png
17;black;red;horiz;2;blackredhoriz.png;blackredhoriz2.png
18;black;red;horiz;3;blackredhoriz.png;blackredhoriz3.png
19;black;red;horiz;4;blackredhoriz.png;blackredhoriz4.png
20;black;red;horiz;6;blackredhoriz.png;blackredhoriz6.png
21;black;red;horiz;7;blackredhoriz.png;blackredhoriz7.png
22;black;red;horiz;8;blackredhoriz.png;blackredhoriz8.png
23;black;red;horiz;9;blackredhoriz.png;blackredhoriz9.png
24;black;red;vert;1;blackredvert.png;blackredvert1.png
25;black;red;vert;2;blackredvert.png;blackredvert2.png
26;black;red;vert;3;blackredvert.png;blackredvert3.png
27;black;red;vert;4;blackredvert.png;blackredvert4.png
28;black;red;vert;6;blackredvert.png;blackredvert6.png
29;black;red;vert;7;blackredvert.png;blackredvert7.png
30;black;red;vert;8;blackredvert.png;blackredvert8.png
31;black;red;vert;9;blackredvert.png;blackredvert9.png
