;cuecolor;framecolor;orientation;stimulus;cueFileName;stimFileName;display;cue0FileName;randomise_trials
0;blue;black;horiz;1;blueblackhoriz.png;blueblackhoriz1.png;trial;blueblackhoriz.png;1
1;blue;black;horiz;2;blueblackhoriz.png;blueblackhoriz2.png;trial;blueblackhoriz.png;1
2;blue;black;horiz;3;blueblackhoriz.png;blueblackhoriz3.png;trial;blueblackhoriz.png;1
3;blue;black;horiz;4;blueblackhoriz.png;blueblackhoriz4.png;trial;blueblackhoriz.png;1
4;blue;black;horiz;6;blueblackhoriz.png;blueblackhoriz6.png;trial;blueblackhoriz.png;1
5;blue;black;horiz;7;blueblackhoriz.png;blueblackhoriz7.png;trial;blueblackhoriz.png;1
6;blue;black;horiz;8;blueblackhoriz.png;blueblackhoriz8.png;trial;blueblackhoriz.png;1
7;blue;black;horiz;9;blueblackhoriz.png;blueblackhoriz9.png;trial;blueblackhoriz.png;1
8;blue;black;vert;1;blueblackvert.png;blueblackvert1.png;trial;blueblackvert.png;1
9;blue;black;vert;2;blueblackvert.png;blueblackvert2.png;trial;blueblackvert.png;1
10;blue;black;vert;3;blueblackvert.png;blueblackvert3.png;trial;blueblackvert.png;1
11;blue;black;vert;4;blueblackvert.png;blueblackvert4.png;trial;blueblackvert.png;1
12;blue;black;vert;6;blueblackvert.png;blueblackvert6.png;trial;blueblackvert.png;1
13;blue;black;vert;7;blueblackvert.png;blueblackvert7.png;trial;blueblackvert.png;1
14;blue;black;vert;8;blueblackvert.png;blueblackvert8.png;trial;blueblackvert.png;1
15;blue;black;vert;9;blueblackvert.png;blueblackvert9.png;trial;blueblackvert.png;1
16;red;black;horiz;1;redblackhoriz.png;redblackhoriz1.png;trial;redblackhoriz.png;1
17;red;black;horiz;2;redblackhoriz.png;redblackhoriz2.png;trial;redblackhoriz.png;1
18;red;black;horiz;3;redblackhoriz.png;redblackhoriz3.png;trial;redblackhoriz.png;1
19;red;black;horiz;4;redblackhoriz.png;redblackhoriz4.png;trial;redblackhoriz.png;1
20;red;black;horiz;6;redblackhoriz.png;redblackhoriz6.png;trial;redblackhoriz.png;1
21;red;black;horiz;7;redblackhoriz.png;redblackhoriz7.png;trial;redblackhoriz.png;1
22;red;black;horiz;8;redblackhoriz.png;redblackhoriz8.png;trial;redblackhoriz.png;1
23;red;black;horiz;9;redblackhoriz.png;redblackhoriz9.png;trial;redblackhoriz.png;1
24;red;black;vert;1;redblackvert.png;redblackvert1.png;trial;redblackvert.png;1
25;red;black;vert;2;redblackvert.png;redblackvert2.png;trial;redblackvert.png;1
26;red;black;vert;3;redblackvert.png;redblackvert3.png;trial;redblackvert.png;1
27;red;black;vert;4;redblackvert.png;redblackvert4.png;trial;redblackvert.png;1
28;red;black;vert;6;redblackvert.png;redblackvert6.png;trial;redblackvert.png;1
29;red;black;vert;7;redblackvert.png;redblackvert7.png;trial;redblackvert.png;1
30;red;black;vert;8;redblackvert.png;redblackvert8.png;trial;redblackvert.png;1
31;red;black;vert;9;redblackvert.png;redblackvert9.png;trial;redblackvert.png;1
32;blue;black;horiz;1;blueblackhoriz.png;blueblackhoriz1.png;trial;blackblackhoriz.png;2
33;blue;black;horiz;2;blueblackhoriz.png;blueblackhoriz2.png;trial;blackblackhoriz.png;2
34;blue;black;horiz;3;blueblackhoriz.png;blueblackhoriz3.png;trial;blackblackhoriz.png;2
35;blue;black;horiz;4;blueblackhoriz.png;blueblackhoriz4.png;trial;blackblackhoriz.png;2
36;blue;black;horiz;6;blueblackhoriz.png;blueblackhoriz6.png;trial;blackblackhoriz.png;2
37;blue;black;horiz;7;blueblackhoriz.png;blueblackhoriz7.png;trial;blackblackhoriz.png;2
38;blue;black;horiz;8;blueblackhoriz.png;blueblackhoriz8.png;trial;blackblackhoriz.png;2
39;blue;black;horiz;9;blueblackhoriz.png;blueblackhoriz9.png;trial;blackblackhoriz.png;2
40;blue;black;vert;1;blueblackvert.png;blueblackvert1.png;trial;blackblackvert.png;2
41;blue;black;vert;2;blueblackvert.png;blueblackvert2.png;trial;blackblackvert.png;2
42;blue;black;vert;3;blueblackvert.png;blueblackvert3.png;trial;blackblackvert.png;2
43;blue;black;vert;4;blueblackvert.png;blueblackvert4.png;trial;blackblackvert.png;2
44;blue;black;vert;6;blueblackvert.png;blueblackvert6.png;trial;blackblackvert.png;2
45;blue;black;vert;7;blueblackvert.png;blueblackvert7.png;trial;blackblackvert.png;2
46;blue;black;vert;8;blueblackvert.png;blueblackvert8.png;trial;blackblackvert.png;2
47;blue;black;vert;9;blueblackvert.png;blueblackvert9.png;trial;blackblackvert.png;2
48;red;black;horiz;1;redblackhoriz.png;redblackhoriz1.png;trial;blackblackhoriz.png;2
49;red;black;horiz;2;redblackhoriz.png;redblackhoriz2.png;trial;blackblackhoriz.png;2
50;red;black;horiz;3;redblackhoriz.png;redblackhoriz3.png;trial;blackblackhoriz.png;2
51;red;black;horiz;4;redblackhoriz.png;redblackhoriz4.png;trial;blackblackhoriz.png;2
52;red;black;horiz;6;redblackhoriz.png;redblackhoriz6.png;trial;blackblackhoriz.png;2
53;red;black;horiz;7;redblackhoriz.png;redblackhoriz7.png;trial;blackblackhoriz.png;2
54;red;black;horiz;8;redblackhoriz.png;redblackhoriz8.png;trial;blackblackhoriz.png;2
55;red;black;horiz;9;redblackhoriz.png;redblackhoriz9.png;trial;blackblackhoriz.png;2
56;red;black;vert;1;redblackvert.png;redblackvert1.png;trial;blackblackvert.png;2
57;red;black;vert;2;redblackvert.png;redblackvert2.png;trial;blackblackvert.png;2
58;red;black;vert;3;redblackvert.png;redblackvert3.png;trial;blackblackvert.png;2
59;red;black;vert;4;redblackvert.png;redblackvert4.png;trial;blackblackvert.png;2
60;red;black;vert;6;redblackvert.png;redblackvert6.png;trial;blackblackvert.png;2
61;red;black;vert;7;redblackvert.png;redblackvert7.png;trial;blackblackvert.png;2
62;red;black;vert;8;redblackvert.png;redblackvert8.png;trial;blackblackvert.png;2
63;red;black;vert;9;redblackvert.png;redblackvert9.png;trial;blackblackvert.png;2
