"cocoa";"context_R";"ANSWER_R";"task_R";"contrast";"estimate";"SE";"df";"z.ratio";"p.value"
"0";"0";"0";".";"1 - 0";0.168599663554888;0.0173781609101626;Inf;9.70181277676467;0
"300";"0";"0";".";"1 - 0";0.144347408592365;0.0175553196162558;Inf;8.22243124862863;1.88737914186277e-15
"0";"1";"0";".";"1 - 0";0.102173252863483;0.0179784313804747;Inf;5.68310164002668;3.46500900305635e-07
"300";"1";"0";".";"1 - 0";0.156924008618826;0.016876698027096;Inf;9.29826488373971;0
"0";"0";"1";".";"1 - 0";0.125313502122969;0.0156258250637438;Inf;8.01964066612589;9.76996261670138e-15
"300";"0";"1";".";"1 - 0";0.0765377421382833;0.017124693152172;Inf;4.4694372890749;0.000248431010595906
"0";"1";"1";".";"1 - 0";0.0654767061494323;0.0162184514719723;Inf;4.03717372540683;0.00172877444696873
"300";"1";"1";".";"1 - 0";0.138071204625726;0.0160416564313462;Inf;8.60704162420087;0
".";"0";"0";"0";"300 - 0";0.0176529455391742;0.0180189194771136;Inf;0.979689462600448;0.998930331246252
".";"0";"0";"1";"300 - 0";-0.00659930942334875;0.0169434225181286;Inf;-0.389490931734001;0.999999994201501
".";"1";"0";"0";"300 - 0";-0.0248202312422195;0.0179115399767505;Inf;-1.38571174083505;0.965893252048341
".";"1";"0";"1";"300 - 0";0.0299305245131236;0.0169514850406013;Inf;1.7656579610244;0.807030280611535
".";"0";"1";"0";"300 - 0";0.0103179683623379;0.015826366578095;Inf;0.651948020502626;0.999992986663893
".";"0";"1";"1";"300 - 0";-0.038457791622348;0.0169898514822634;Inf;-2.26357432626743;0.423758066813481
".";"1";"1";"0";"300 - 0";-0.0507756724426975;0.0154980480084885;Inf;-3.27626243091304;0.029226464283584
".";"1";"1";"1";"300 - 0";0.0218188260335965;0.0168110908683987;Inf;1.2978828205974;0.980858994302758
"0";".";"0";"0";"1 - 0";0.0542106224724344;0.0183121553975839;Inf;2.96036273696033;0.0788512741705359
"0";".";"0";"1";"1 - 0";-0.0122157882189706;0.0170397160015637;Inf;-0.716900928269556;0.999975388728515
"300";".";"0";"0";"1 - 0";0.0117374456910408;0.0175788881945264;Inf;0.667701253978939;0.999990326268721
"300";".";"0";"1";"1 - 0";0.0243140457175018;0.0168517307919606;Inf;1.44282186902138;0.952588442226036
"0";".";"1";"0";"1 - 0";0.0433416804848333;0.01536901033112;Inf;2.82006970852722;0.119039631540973
"0";".";"1";"1";"1 - 0";-0.0164951154887036;0.0164748797930423;Inf;-1.00122827576987;0.998635378951666
"300";".";"1";"0";"1 - 0";-0.0177519603202022;0.0158940080007998;Inf;-1.11689640015966;0.995598498864029
"300";".";"1";"1";"1 - 0";0.0437815021672409;0.0172674130293294;Inf;2.53549863508078;0.242330802534833
"0";"0";".";"0";"1 - 0";0.0207449495255421;0.0165204825796026;Inf;1.25571086834687;0.985963027161268
"0";"0";".";"1";"1 - 0";-0.0225412119063765;0.0165561545074242;Inf;-1.36150045569268;0.970775388933828
"300";"0";".";"0";"1 - 0";0.0134099723487059;0.0173400341438857;Inf;0.773353283934238;0.999936462794626
"300";"0";".";"1";"1 - 0";-0.0543996941053757;0.0173435436159925;Inf;-3.13659626370782;0.0462906000296613
"0";"1";".";"0";"1 - 0";0.00987600753794092;0.0172981242309784;Inf;0.570929391306744;0.999998812138192
"0";"1";".";"1";"1 - 0";-0.0268205391761095;0.0169568452252537;Inf;-1.5816939306709;0.905217744042157
"300";"1";".";"0";"1 - 0";-0.0160794336625371;0.0161521443314363;Inf;-0.99549838910505;0.998720304814704
"300";"1";".";"1";"1 - 0";-0.0349322376556367;0.0167781523572178;Inf;-2.08200741725945;0.568014888346128
