"Effect";"df";"MSE";"F";"Partial Eta Sq.";"p.value"
"version";"1 124";"383233.22";"0.27";".002";".602"
"task";"1 124";"24021.06";"154.03";".554";"<.001"
"version x task";"1 124";"24021.06";"0.64";".005";".424"
"resp";"1 124";"6864.03";"0.59";".005";".442"
"version x resp";"1 124";"6864.03";"0.17";".001";".685"
"context";"1 124";"5121.35";"7.48";".057";".007"
"version x context";"1 124";"5121.35";"3.82";".030";".053"
"cocoa";"1 124";"25263.72";"2.01";".016";".158"
"version x cocoa";"1 124";"25263.72";"1.61";".013";".206"
"task x resp";"1 124";"5642.50";"10.66";".079";".001"
"version x task x resp";"1 124";"5642.50";"0.57";".005";".452"
"task x context";"1 124";"4901.54";"2.69";".021";".104"
"version x task x context";"1 124";"4901.54";"0.38";".003";".539"
"resp x context";"1 124";"4812.03";"4.29";".033";".040"
"version x resp x context";"1 124";"4812.03";"0.67";".005";".416"
"task x cocoa";"1 124";"7035.56";"0.01";"<.001";".929"
"version x task x cocoa";"1 124";"7035.56";"0.55";".004";".460"
"resp x cocoa";"1 124";"5112.15";"0.02";"<.001";".880"
"version x resp x cocoa";"1 124";"5112.15";"3.29";".026";".072"
"context x cocoa";"1 124";"4666.11";"0.00";"<.001";".957"
"version x context x cocoa";"1 124";"4666.11";"1.22";".010";".271"
"task x resp x context";"1 124";"4129.51";"0.17";".001";".682"
"version x task x resp x context";"1 124";"4129.51";"1.99";".016";".161"
"task x resp x cocoa";"1 124";"6142.43";"1.82";".014";".180"
"version x task x resp x cocoa";"1 124";"6142.43";"0.86";".007";".357"
"task x context x cocoa";"1 124";"4122.38";"0.06";"<.001";".811"
"version x task x context x cocoa";"1 124";"4122.38";"0.00";"<.001";".994"
"resp x context x cocoa";"1 124";"3761.86";"0.26";".002";".612"
"version x resp x context x cocoa";"1 124";"3761.86";"3.74";".029";".055"
"task x resp x context x cocoa";"1 124";"3799.20";"0.08";"<.001";".782"
"version x task x resp x context x cocoa";"1 124";"3799.20";"0.16";".001";".694"
