"Estimate";"Std. Error";"z value";"OddRatio";"Pr(>|z|)"
"(Intercept)";-2.75;0.129;-21.247;0.064;"< .001"
"task_R1";0.454;0.132;3.432;1.574;"< .001"
"ANSWER_R1";-0.461;0.152;-3.038;0.631;"< .01"
"context_R1";-0.065;0.149;-0.434;0.937;"0.664"
"cocoa300";-0.108;0.153;-0.707;0.897;"0.48"
"task_R1:ANSWER_R1";0.03;0.195;0.157;1.031;"0.875"
"task_R1:context_R1";-0.062;0.187;-0.332;0.94;"0.74"
"ANSWER_R1:context_R1";0.362;0.206;1.76;1.437;"0.078"
"task_R1:cocoa300";0.053;0.19;0.278;1.054;"0.781"
"ANSWER_R1:cocoa300";0.555;0.208;2.671;1.742;"< .01"
"context_R1:cocoa300";0.387;0.207;1.869;1.472;"0.062"
"task_R1:ANSWER_R1:context_R1";-0.23;0.27;-0.851;0.795;"0.395"
"task_R1:ANSWER_R1:cocoa300";-0.472;0.27;-1.745;0.624;"0.081"
"task_R1:context_R1:cocoa300";-0.045;0.261;-0.173;0.956;"0.862"
"ANSWER_R1:context_R1:cocoa300";-0.805;0.282;-2.856;0.447;"< .01"
"task_R1:ANSWER_R1:context_R1:cocoa300";0.51;0.373;1.367;1.665;"0.172"
