"task_R";"ANSWER_R";"context_R";"cocoa";"exp";"prob"
"0";"0";"0";"0";"BRAC1";0.0594157411792141
"1";"0";"0";"0";"BRAC1";0.093796618399226
"0";"1";"0";"0";"BRAC1";0.0420509134273484
"1";"1";"0";"0";"BRAC1";0.0592013631195907
"0";"0";"1";"0";"BRAC1";0.0541690931878962
"1";"0";"1";"0";"BRAC1";0.0842450017502878
"0";"1";"1";"0";"BRAC1";0.0487880978110528
"1";"1";"1";"0";"BRAC1";0.0505122575156653
"0";"0";"0";"300";"BRAC1";0.0460738594107016
"1";"0";"0";"300";"BRAC1";0.0929293677176401
"0";"1";"0";"300";"BRAC1";0.0548633939222823
"1";"1";"0";"300";"BRAC1";0.0612184886762649
"0";"0";"1";"300";"BRAC1";0.0509957363109247
"1";"0";"1";"300";"BRAC1";0.094641760862481
"0";"1";"1";"300";"BRAC1";0.0397160617859238
"1";"1";"1";"300";"BRAC1";0.0536703125642977
"0";"0";"0";"0";"BRAC2";0.0578691955285274
"1";"0";"0";"0";"BRAC2";0.0907372396831377
"0";"1";"0";"0";"BRAC2";0.0369536187996109
"1";"1";"0";"0";"BRAC2";0.0594228062768454
"0";"0";"1";"0";"BRAC2";0.0542216374986805
"1";"0";"1";"0";"BRAC2";0.0776157490237791
"0";"1";"1";"0";"BRAC2";0.0480357335889269
"1";"1";"1";"0";"BRAC2";0.0592133302291527
"0";"0";"0";"300";"BRAC2";0.0530559258896301
"1";"0";"0";"300";"BRAC2";0.0843500688411117
"0";"1";"0";"300";"BRAC2";0.0553433560299634
"1";"1";"0";"300";"BRAC2";0.0583249670106202
"0";"0";"1";"300";"BRAC2";0.0713206709681403
"1";"0";"1";"300";"BRAC2";0.099113145941089
"0";"1";"1";"300";"BRAC2";0.0509155978934158
"1";"1";"1";"300";"BRAC2";0.0593221812465774
